GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
labo2,aed,Horario,1,65,2,10,0,13,2,9,0,5
labo2,aed,Recordatorio,6,109,7,7,1,16,7,6,0,6
labo2,aed,ArregloRedimensionableDeRecordatorios,0,126,0,6,0,24,0,11,0,8
labo2,aed,Agenda,0,86,0,4,0,18,0,7,0,5
labo2,aed,Fecha,1,172,3,15,0,29,3,14,0,8
